@RELATION BOOKKEEPER5TestDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
6,0,0,16883,0,0,0,0,0,0,no
6,0,0,74,0,0,0,0,0,0,no
6,0,0,153,0,0,0,0,0,0,no
6,0,0,68,0,0,0,0,0,0,no
6,0,0,100,0,0,0,0,0,0,no
6,0,0,550,0,0,0,0,0,0,no
6,0,0,437,0,0,0,0,0,0,no
6,0,0,1038,0,0,0,0,0,0,no
6,0,0,104,0,0,0,0,0,0,no
6,0,0,332,0,0,0,0,0,0,no
6,0,0,123,0,0,0,0,0,0,no
6,0,0,106,0,0,0,0,0,0,no
6,0,0,105,0,0,0,0,0,0,no
6,0,0,94,0,0,0,0,0,0,no
6,0,0,101,0,0,0,0,0,0,no
6,0,0,38,0,0,0,0,0,0,no
6,0,0,666,0,0,0,0,0,0,no
6,0,0,32,0,0,0,0,0,0,no
6,0,0,111,0,0,0,0,0,0,no
6,0,0,35,0,0,0,0,0,0,no
6,0,0,90,0,0,0,0,0,0,no
6,0,0,27,0,0,0,0,0,0,no
6,0,0,28,0,0,0,0,0,0,no
6,0,0,92,0,0,0,0,0,0,no
6,0,0,979,0,0,0,0,0,0,no
6,0,0,67,0,0,0,0,0,0,no
6,0,0,29,0,0,0,0,0,0,no
6,0,0,105,0,0,0,0,0,0,no
6,0,0,72,0,0,0,0,0,0,no
6,0,0,37,0,0,0,0,0,0,no
6,0,0,47,0,0,0,0,0,0,no
6,0,0,31,0,0,0,0,0,0,no
6,0,0,90,0,0,0,0,0,0,no
6,0,0,223,0,0,0,0,0,0,no
6,0,0,214,0,0,0,0,0,0,no
6,0,0,107,0,0,0,0,0,0,no
6,0,0,37,0,0,0,0,0,0,no
6,0,0,27,0,0,0,0,0,0,no
6,0,0,48,0,0,0,0,0,0,no
6,0,0,167,0,0,0,0,0,0,no
